Term,Pronunciation,Context / Example Usage,Notes,Tags
TU Delft,,,,Institution
TaDA logic,,,,
Tarides,,,,
Tarmo Uustula,,,,Author
Tarski,,,,
Technical University of Darmstadt,,Institution,,Institution
Technische Universiteit Delft,,,,Institution
Template Haskell ,,,,tool
Thaïs Baudon,,,,Author
The Theory of Call-by-Value Solvability,,Title,,Title
Thibaut Balabonski,,,,researcher
Thomas Bourgeat,,,,Author
Tim Sweeney,,,,Author
Tim Süberkrüb,,,,Author
Tlön embedding,,,,
Tobias Hombücher,,,,Author
Tofino,,,,
Tokura,,,,
Tolpin,,,,
Tom Schrijvers,,,,Author
Tomasz Drab,Tomash /ˈtɔ̃maʃ/ Drab /drap/,,,author
Tram Hoang,,,,Author
Tranchini,,,,Name
Traversible,,,,
Tree-Sitter,,,,
Trigger,,,,
Tufts University,,,,Institution
Turing,,,,
Turing complete,,,,Common-term
Tweag,,,,Institution
Tweag,,,,Institution
Type-driven program synthesis,,,,
Type-preservation,,,,
Tzu-Chi Lin,,,,Author
Ugo Dal Lago,,,,Author
Umut A. Acar,,,,Author
Universiteit Utrecht,,,,Institution
University of Bologna,,,,Institution
University of Bonn,,,,Institution
University of Bristol,,,,Institution
University of British Columbia,,Often UBC,,Institution
University of California,,,,Institution
University of Chicago,,,,Institution
University of Chile,,,,Institution
University of Chile,,,,Institution
University of Edinburgh,,,,Institution
University of Gothenburg,,,,Institution
University of Maryland,,Often UMD,,Institution
University of Massachusetts Lowell,,,,Institution
University of Nottingham,,,,Institution
University of Pennsylvania,,,,Institution
University of Tübingen,,,,Institution
University of Wroclaw,,,,Institution
University of Wrocław,University of Vrotzwav /ˈvrɔʦ̑waf/,,,institution
Université de Paris,,,,Institution
Unix.fork,,,,
Ur (pronounced unrestricted) ,,,,
Useful MAM,useful mam,Useful MAM (abstract machine),,
Utrecht University,,,,Institution
VC (Verification condition) ,,,,
VCG (verification condition generator) ,,,,
VHDL,,,,Programming-language
VPP,,,,
VSAs (version space algebras) ,,,,
VSC (value substitution calculus),,Value substitution calculus,,
VST,,Verified Software Toolchain,,tool theorem-proving
Val Tannen,,,,Author
Vardoulakis,,,,
Vasconscelos,,,,Name
Vazou,,,,
Vellvm,vellum,,,
Vera,,,,
VeriFast,,,,
VeriSmall,,,,
Verilog,,,,Programming-language
Viper,,,,
Voevodsky,,,,Name
Vrije Universiteit Brussel,,,,
Vytiniotis,,,,
WP (weakest preconditions) ,,,,
Wadler,,,,Name
Wamy,,,,
WebAssembly,,,,Common-term programming-language
Well-Typed LLP,,,,Institution
Wesleyan University,,,,Institution
Why,,,,
William J. Bowman,,,,Author
Witold Charatonik,Vitold /ˈvʲitɔlt/ Haratonik,,,author
Wouter Swierstra,,,,Author
Wouter Swierstra,,,,Author
XDP ,,,,
Xi,,,,
Xilinx,,Company that makes FPGAs,,Hardware company
Yannick Zakowski,,,,Author
Yao Li,,,,Author
YieldFSM ,,,,
Yiyun Liu,,,,Author
Yoneda,,Yoneda embedding / yoneda lemma,,
Z3,,Tool to automatically prove theorems,,Tool
Z3 SMT solver,,,,
ZILLIQA,,,,
Zheng Guo,,,,Author
Zhixuan Yang,,,,Author
Zhu,,,,
Zilliqa Research,,,,Institution
abstract machine states,,,,
abstract state space,,,,
abstract state transition,,,,
